3 1:-60.92307692 2:-72.95652174 3:0
2 1:0 2:-73.43873518 3:-51.26433121
1 1:-76.8 2:-56.84337349 3:0
3 1:-58 2:-70 3:0
2 1:0 2:-84.5 3:-70.85714286
1 1:-81.08641975 2:-58.03846154 3:-82.03125
3 1:-59.33333333 2:0 3:-82
3 1:-58 2:-73.83333333 3:0
3 1:-55.0931677 2:-64.25396825 3:-82.54492754
4 1:-58 2:-74 3:0
1 1:-70.1025641 2:-49.90625 3:-88
1 1:-72.6984127 2:-47.22222222 3:-78.5
3 1:-56.12698413 2:-65.25925926 3:-80.66666667
1 1:-66 2:-48.58823529 3:-74.4
1 1:-65.8125 2:-48.73224044 3:-68.94382022
1 1:-72.60606061 2:-55.33632287 3:-72.54481547
3 1:-59.03389831 2:-71.53684211 3:0
1 1:-64 2:-49.40740741 3:0
3 1:-56.97402597 2:-62.24338624 3:-84.53061224
1 1:-82.58823529 2:-57.63636364 3:-82.03896104
1 1:-73.9 2:-57.51851852 3:-82.11111111
3 1:-50.47619048 2:-67.15151515 3:0
4 1:-68.25641026 2:-74.02380952 3:-84.84210526
3 1:-56 2:-74 3:0
4 1:-70 2:-79.25 3:-84.66666667
2 1:-84 2:0 3:-52
3 1:-62.36363636 2:-79.38461538 3:0
1 1:-84.22222222 2:-57.64217252 3:-83.12280702
1 1:-73.91724138 2:-53.43103448 3:-78.37755102
3 1:-56.03149606 2:-72.60869565 3:0
1 1:-76 2:-66.23529412 3:-84
1 1:-77.83673469 2:-55.73684211 3:-78.08695652
2 1:0 2:-78.18181818 3:-39.94594595
1 1:-66.37837838 2:-49.09558824 3:-74.55131965
4 1:0 2:-78 3:0
4 1:-67.05084746 2:-74.47191011 3:-78
3 1:-54.78571429 2:-60.47058824 3:-84
2 1:0 2:-76 3:-47.92307692
1 1:-75.8 2:-60.9375 3:-83
3 1:-57.4137931 2:-65.09236948 3:-82.85660377
3 1:-58.33333333 2:-74 3:0
1 1:-74.46153846 2:-60.88571429 3:-80
1 1:-67.26126126 2:-50.49407115 3:-77.98431373
2 1:0 2:-68 3:0
1 1:-69.88235294 2:-55 3:-79.71428571
1 1:-75.52 2:-53.34782609 3:-80.55384615
1 1:-73.2 2:-47.75438596 3:-81.688
3 1:-56.92857143 2:-66.40963855 3:-84.13636364
2 1:0 2:-80 3:-51.18226601
3 1:-56.36 2:-65.18987342 3:-83.71428571
4 1:-75.57894737 2:-80.3125 3:-71.21428571
1 1:-69.17355372 2:-44.44791667 3:-83.06761566
3 1:0 2:-66.54054054 3:-83.43065693
3 1:-56.93333333 2:-62.47887324 3:-86
4 1:0 2:-82.85714286 3:0
1 1:-69.09734513 2:-48.98245614 3:-77.89528796
3 1:-63.33333333 2:-65.33333333 3:-80
3 1:0 2:-57.6 3:0
3 1:-60.16 2:-74.5 3:0
1 1:-76.43404255 2:-52.16489362 3:-79.23178808
2 1:0 2:-67.375 3:-58.47682119
3 1:-50 2:0 3:0
1 1:-65.68674699 2:-49.62601626 3:-74.93273543
3 1:-60 2:0 3:0
4 1:-90 2:-83.8 3:0
1 1:-66.21505376 2:-47.99452055 3:-75.28461538
2 1:0 2:-79.33333333 3:-51.90518519
3 1:-58.28571429 2:-75 3:0
3 1:-60.8125 2:-68.43902439 3:0
3 1:-58.66666667 2:0 3:0
1 1:-80.92857143 2:-55.76190476 3:-84.4
3 1:-58.78787879 2:-66.68181818 3:-86.23076923
3 1:-58.55555556 2:-73.5 3:0
1 1:-69.42553191 2:-52.57373737 3:-77.04186047
3 1:-59.35714286 2:-68.2 3:0
1 1:-74.1981982 2:-42.49604222 3:-83.34545455
3 1:-53.04651163 2:-59.11711712 3:-87
3 1:-53.61344538 2:-59.56190476 3:-86
4 1:-68 2:-80 3:0
3 1:-58 2:-61.9047619 3:-84.66666667
1 1:-75.69230769 2:-56.51515152 3:-84
2 1:-88 2:-83.75 3:-46.76595745
3 1:-55.78571429 2:-61.6 3:-80.95238095
3 1:-50 2:0 3:0
3 1:-59.07692308 2:-72 3:0
1 1:-84.76190476 2:-59.7483871 3:-82.71172962
2 1:0 2:0 3:-51.33333333
1 1:-64.83333333 2:-55.26235741 3:-75.91489362
2 1:0 2:0 3:-55
3 1:-58 2:-71.47826087 3:-82
2 1:0 2:-79.33333333 3:-60.54676259
1 1:-72.01923077 2:-55.99462366 3:-68.34944238
3 1:-56.77142857 2:-68.71957672 3:0
4 1:-69.25 2:-78.5 3:-80
4 1:-74.75 2:-79.83333333 3:-85
3 1:-57.07142857 2:-64.61313869 3:-82.30252101
3 1:-55.69230769 2:-60.66666667 3:-84
2 1:0 2:-78 3:-50.4
2 1:-84.57142857 2:-77.89189189 3:-42.54285714
1 1:-68.43478261 2:-46.33695652 3:-71.89090909
3 1:-54.82666667 2:-58.01015228 3:0
2 1:0 2:-68.66666667 3:-47.5
3 1:-57.57377049 2:-60.53333333 3:-84.16666667
4 1:0 2:-83.15789474 3:-82.18181818
3 1:-63 2:-58.57142857 3:0
1 1:-74 2:-60.66666667 3:0
3 1:-57.11111111 2:-74 3:-82
3 1:-62.4 2:0 3:0
3 1:-62.95652174 2:-78.06896552 3:-82.5
1 1:-71.4 2:-51.10526316 3:-79.33333333
1 1:-63.33333333 2:-56.4 3:-67.33333333
1 1:-75.86206897 2:-57.44444444 3:-78.73684211
3 1:-61.08024691 2:-58.47674419 3:0
1 1:-79.6 2:-54 3:-79.6
3 1:-58 2:-72.60869565 3:0
2 1:-84 2:0 3:-52.73602081
3 1:-47.33333333 2:0 3:0
1 1:-65.09090909 2:-41.28 3:-68.25
3 1:0 2:-74.31578947 3:0
4 1:-68.48275862 2:-75.13186813 3:-85.58
3 1:-63.7 2:-76 3:0
1 1:-74.22222222 2:-42.17120623 3:-81.4490566
3 1:0 2:-66.99365751 3:-80.70619946
4 1:-76.22222222 2:-84.28571429 3:0
2 1:-90 2:-80 3:-44
3 1:-63.62162162 2:-65.04347826 3:-84
1 1:-71.72173913 2:-51.94871795 3:-81.11363636
1 1:-73.67272727 2:-59.38 3:-69.40414508
2 1:0 2:-74 3:-49
1 1:-66.58299595 2:-46.14420063 3:-69.0367893
1 1:-68.67368421 2:-46.85551331 3:-80.17716535
2 1:0 2:-80 3:-55.81132075
1 1:-71.96396396 2:-46.10404624 3:-84.01574803
2 1:-90 2:0 3:-45.65517241
3 1:-59.6744186 2:-63.91836735 3:-82.13836478
2 1:0 2:-70.75 3:-51.75
1 1:-71.08108108 2:-52.6539924 3:-83.93650794
1 1:-65.06666667 2:-48 3:-75.5
4 1:-77.33333333 2:-75.04347826 3:-72.8
1 1:-76.28346457 2:-56.37681159 3:-78.33898305
2 1:-86 2:-74 3:-46
1 1:-66.71794872 2:-48.77464789 3:-75
1 1:-68.88888889 2:-54.44444444 3:-78
3 1:-58.30769231 2:-74 3:0
4 1:-71.33333333 2:-84 3:-92
1 1:-78.7804878 2:-51.69620253 3:-79.12
1 1:-73.26548673 2:-50.27513228 3:-76.23655914
1 1:0 2:-60 3:-72.28571429
3 1:-57 2:-64 3:0
3 1:-60.7628866 2:-72.13953488 3:-87.33333333
1 1:-66.0125 2:-47.48275862 3:-74.91008174
1 1:-78.61538462 2:-57.24503311 3:-83.13636364
1 1:-72.12 2:-60.07017544 3:-83.79527559
4 1:0 2:-83 3:-84
2 1:-56 2:-61.80952381 3:-66.61538462
3 1:-60.5 2:0 3:0
1 1:-75.1559633 2:-55.50485437 3:-79.44705882
4 1:-75.64285714 2:-82.70588235 3:-70
4 1:-69.45454545 2:-73.40880503 3:-86
1 1:-66.3908046 2:-52.43181818 3:-77.04347826
1 1:-66.7755102 2:-48 3:-75.60869565
4 1:-73.6 2:-81.16666667 3:-76
1 1:-68.11869436 2:-49.06072874 3:-80.87782805
4 1:-77.45454545 2:-71.25 3:-74.44
2 1:0 2:0 3:-47.33333333
1 1:-80.66666667 2:-55.31034483 3:0
2 1:-85.6 2:0 3:-52.4
2 1:0 2:0 3:-48
1 1:-65.9375 2:-47.19170984 3:-69.97419355
3 1:-57 2:-68 3:0
3 1:-58 2:-61.5 3:-88
3 1:-62 2:-83.5 3:0
3 1:-56 2:-72.66666667 3:0
3 1:-51.96969697 2:-59.55555556 3:0
3 1:-66 2:-64 3:0
1 1:-69.2 2:-55.96428571 3:-66.69230769
3 1:-55.78082192 2:-64.13793103 3:-82.94871795
3 1:-55.33333333 2:-66.32369942 3:-82.07446809
1 1:-75.16666667 2:-56.34117647 3:-79.54285714
3 1:-61.42857143 2:-76.2 3:-80
3 1:-59.5 2:-70 3:0
1 1:-64.85714286 2:-62.10619469 3:-71.62573099
3 1:-51.33333333 2:-63.18811881 3:-83
2 1:0 2:-78.34693878 3:-53.37909836
3 1:-60 2:-65.69565217 3:0
4 1:0 2:-80 3:-70
2 1:-86 2:-83.9862069 3:-64.74188999
3 1:0 2:-74 3:-84
2 1:-86 2:-69.4 3:0
3 1:-64 2:0 3:0
2 1:0 2:-84.5 3:-46.46153846
3 1:0 2:-66 3:0
2 1:0 2:0 3:-58.23622047
2 1:0 2:-74.26666667 3:-53.96324655
3 1:-53.40740741 2:-67.5 3:0
2 1:0 2:0 3:-57.5
4 1:-59.2 2:-79.74736842 3:-88
1 1:-70.01612903 2:-52.81681682 3:-77.03514377
1 1:-77.38931298 2:-61.19512195 3:-80.51470588
3 1:-59.30685921 2:-73.06060606 3:-86
1 1:-74 2:-54.07142857 3:-81.86363636
3 1:-53.27272727 2:-63.11111111 3:0
1 1:-68.52173913 2:-54.55555556 3:-69.54098361
1 1:-64.07317073 2:-44.7007874 3:-71.35504886
2 1:0 2:0 3:-52
3 1:-52.72240803 2:-57.96753247 3:0
3 1:-59.56521739 2:-68.19138756 3:0
3 1:-58.28571429 2:-73.14285714 3:0
3 1:0 2:-62.94117647 3:0
3 1:0 2:-66.35294118 3:-82.83333333
3 1:-57.33333333 2:-73.66666667 3:0
